Date,Profit,Sales
7/19/2016,-7002.25,12327.56551
7/20/2016,-9437.31,50366.35423
7/21/2016,-29022.37,16585.74091
7/22/2016,17015.62,48170.55865
7/23/2016,18744.49,64281.88507
7/24/2016,-4388.39,68633.96306
7/25/2016,-11523.35,76493.41432
7/26/2016,-12485.18,81508.52147
7/27/2016,2485.6,71212.72161
7/28/2016,-6935.59,57505.77856
7/29/2016,-40268.58,36156.82804
7/30/2016,1557.95,3051.816859
7/31/2016,-2462.45,74366.72581
8/1/2016,7982.28,56911.75793
8/2/2016,-21120.33,57045.58395
8/3/2016,21969.19,91200.23238
8/4/2016,-22478,78236.73535
8/5/2016,-5167.01,17940.15641
8/6/2016,9388.26,11623.48342
8/7/2016,-13255.09,100953.377
8/8/2016,-19524.14,75360.03661
8/9/2016,6914.27,24038.28015
8/10/2016,-74152.81,135317.8712
8/11/2016,19256.1,34418.15125
8/12/2016,-4018.19,32382.54689
8/13/2016,-2705.68,30066.58607
8/14/2016,-6844.23,7320.566834
8/15/2016,-9332.86,11470.70211
8/16/2016,-44178.76,91391.51193
8/17/2016,-9968.46,23453.10911
8/18/2016,-27314.15,51632.3708
8/19/2016,1790.38,26779.45932
8/20/2016,10108.66,153843.032
8/21/2016,-9126.91,19632.80272
8/22/2016,-679.22,13837.02861
8/23/2016,-27382.73,129740.3452
8/24/2016,-5785.04,21260.74182
8/25/2016,19939.36,93435.26519
8/26/2016,5207.5,12770.26895
8/27/2016,-13262,21980.48151
8/28/2016,5360.38,7726.723756
8/29/2016,-9276.31,83252.10568
8/30/2016,-7030.45,17856.6194
8/31/2016,849.87,1772.27797
9/1/2016,4721.63,63823.79712
9/2/2016,1759.52,2053.154947
9/3/2016,26711.11,69758.87944
9/4/2016,-8313.63,43927.20259
9/5/2016,1051.68,3776.088726
9/6/2016,9446.24,37650.12056
9/7/2016,28,3230.274882
9/8/2016,21243.85,64242.17855
9/9/2016,-34366,9224.182718
9/10/2016,1212.74,11990.91432
9/11/2016,8793.16,25443.42245
9/12/2016,28477,143437.2539
9/13/2016,-11742.3,17128.87939
9/14/2016,-34966.22,79908.10231
9/15/2016,-6224.26,16624.01491
9/16/2016,-15832.75,26051.81902
9/17/2016,-11890.28,12697.69124
9/18/2016,-23593.85,50498.30036
9/19/2016,11103.23,30437.23435
